Id,NCJW RM TPH Total Mll Feed,NCJW RM TPH BASALT WF  D19A,NCJW RM TPH IRON WF  D19,NCJW RM TPH LGLS WF D7,NCJW RM TPH CLAY WF  D15,NCJW RM TPH LGLS WF  D3,NCJW RM TPH HGLS WF  D11,NCJW RM CONTR MILL FEED SPA,NCJW RM CURRENT RM CLASSIFIER D29_1,NCJW RM SPD RMILL CLASSIFIER,NCJW RM VIB BODY D29,NCJW RM VIB GB  D29,NCJW RM DRAFT INLET,NCJW RM TEMP INLET,NCJW RM ACT INLET POSITION D40,NCJW RM TEMP EXIT,NCJW RM DRAFT EXIT,NCJW RM SPD RM ID FAN  D62,NCJW RM CURRENT RM ID FAN MOT  D62,NCJW RM ACT POSITION D61,NCJW RM VIB ID FAN  D62,NCJW RM TEMP ID FAN INLET  D62,NCJW RM PRESS HSS OPERATING,NCJW RM CURRENT RMILL MAIN MOT  D29,NCJW BH PRESS D50 BHOUSEDIFF D50,NCJW BH SPD BH ID FAN D53,NCJW BH CURRENT BH ID FAN D53,NCJW BH TEMP BHOUSEINLET D50,NCJW BH POSI BH ID FAN DMP POSI FB D52,NCJW XRF RM ECS RES212,SalePrice
23,265,0.8,0,14.1,6,42,201.9,495,195.9,61,6.7,0.4,55,222.9,96.1,88.8,782.4,793,1329.8,96.9,0.8,83.3,60.9,169,89.4,581.3,35.5,235.9,96.1,2.5,511.2
24,263.7,0,0,13.4,7.5,36,206.8,497.8,194.9,61,7.2,0.4,52.6,217.1,96,88.8,772.6,791.3,1330.5,96.9,0.8,83,60.7,166.2,93.4,580.3,35.4,235.8,96.4,2.4,500.2
25,270,0,0,9.1,8.1,25.3,227.5,502.7,195.2,61,7.3,0.5,51.6,208,96,83.9,776.3,791.5,1349.2,96.9,0.8,78.4,60.8,168.3,94.6,580.1,35.2,236.9,96.5,2.3,502.8
26,267,0,0,9,8,54,195.8,501.1,196,61,7.2,0.5,51.9,212,96.1,84.3,776.2,791.3,1342.4,96.9,0.8,78,60.7,167.9,93.4,579.7,35.1,237,96.4,2.3,502.4
27,269,0,0,12.1,7.6,46.8,202.5,500,196.9,61,7,0.4,51.1,218.1,96.1,87.3,779.9,791.2,1328.5,96.9,0.8,80.7,60.4,167.1,94.1,581.7,35.5,233.7,96.3,2.3,502.2
28,267.6,0,0,14.3,7.5,12.3,233.4,500,193.4,61,7.3,0.4,49.1,209.4,96.2,85.7,768.6,791.4,1341.5,97,0.8,79.5,60.3,166.7,93.9,582.3,35.2,238.7,96.2,2.3,499.6
29,271.2,0,0,14.8,7.6,12.4,236.3,500,195.4,61,7.2,0.4,49.4,208.3,96.1,85.3,777.9,791.2,1340.4,96.9,0.8,79,60.3,167.1,91.4,579.6,34.7,238,96.4,2.3,500.6
30,261.8,0,0,16.4,6.8,11.9,226.5,500,192.8,61,7.5,0.5,50.2,194.9,96.2,81.7,776.6,790.2,1342.3,96.9,0.8,75.9,60.1,168,78.6,533.7,28.9,224.9,96.5,2.5,499.8
31,262.8,0.2,0,16.7,6.9,12,227.1,500,192.6,61,7.1,0.4,59,212.7,96.2,84.6,781.1,792.1,1336.6,96.9,0.8,78.3,60,168.5,86,543.5,30.3,220.7,96.4,2.4,498.5
32,268.1,0.9,0,18.3,7,18.6,223.2,500,196,61,6.2,0.4,51.2,206.1,96.2,82.7,803,799,1360.8,96.9,0.9,76.6,60,170.1,90.5,532.7,28.4,214.3,96.5,2.3,513.4
33,263.2,0.9,0,21.7,6.9,80,153.5,500,194.1,60,6.4,0.4,59.8,207.4,96.1,84.7,816.7,804.1,1377.6,96.8,0.9,78.6,59.9,167.9,134.4,524.7,27.4,217.3,96.5,2.3,516.2
34,239,0.8,0,19.6,6.3,212.3,0.1,500,193.5,60,6,0.4,71.7,208.7,96.1,83.5,832.2,807.1,1403.7,98.3,0.9,78.2,60,170.7,122.3,520,26.9,221.9,96.4,2.4,518
35,249.6,0.9,0,20,6.5,219.1,3.2,500,196.6,60,5.9,0.4,74,211.3,96.1,82.8,842.6,816.6,1450.4,98.3,1,78.7,60.2,171.4,125,519.7,26.9,221.4,96.6,2.4,535.7
36,246.6,0.9,0,17.4,6.4,218.6,3.2,500,196.3,60,6.3,0.4,69.7,215.7,96.1,84.7,820,805.9,1394.1,98.3,0.9,81,60.5,170.3,100.1,511.4,25.6,223.7,96.6,2.3,530
37,255.1,1.5,0,15.2,7.3,73.2,157.9,500,191.9,59.6,6.9,0.4,57.6,217.3,96.1,87,783.7,800.8,1374.9,98.3,0.9,81.9,60.2,165.5,59.6,494.8,23.5,221.2,96.7,2.2,510.7
38,267.2,1.8,0,7,8.2,37.5,212.7,500,191.6,59.7,7.6,0.5,43,212.1,96.1,85.5,771.3,800,1391.1,98.3,0.9,80.2,60.1,165.5,89.2,551.8,30.9,239,96.6,2.2,509.4
39,269.7,1.7,0,1.9,8.1,56,202.1,500,192.4,60,7.6,0.5,41.7,211.5,96.1,84.7,767.2,799.6,1391,98.3,0.9,79.5,60.1,165.8,94,563.6,32.4,238.3,96.6,2.3,507.4
40,269.7,1,0,5,7.2,18.5,238.2,500,190.7,60,7.9,0.5,44.8,209.8,96,86.3,759.9,799.1,1385.9,98.3,0.9,81.3,60.2,163.9,93.6,569.3,33.3,240.7,96.7,3,496.9
41,270.1,1,0.1,0.7,7.2,56,205.2,500,191.7,60,7.9,0.5,45.5,207.6,96,85.6,763.4,799,1382.5,98.3,0.9,80.7,60.3,163.8,93.6,573.5,33.5,240,96.8,2.8,487
42,265.6,0.9,1.7,-0.3,7,19.4,236.8,500,191.3,60,7.2,0.5,66.1,218.4,96,84,784.5,798.8,1349.8,98.3,0.9,79.9,60.5,167.1,91.5,548.8,30,215.3,96.7,2.9,493.2
43,267.9,1,1.1,-0.4,7.2,17.9,241,500,188.1,60,9.2,0.6,60.4,196.8,96,82.8,749.7,799.2,1413.6,98.3,0.9,80,60.3,161.1,91.2,543.5,29.4,227.7,96.8,2.6,478.9
44,269.3,1,1.1,-0.4,7.2,18.2,242.1,495.8,187.8,60,8.9,0.6,59.7,199.1,96,82.2,753,800,1413.4,98.3,0.9,79.1,60.8,163.2,93.3,551,30.2,227.4,96.7,2.3,479.4
